Reef ID,ReefName,X_COORD,Y_COORD,Area_HA,Zone,MgmtArea,MgmtAreaCode,MgmtAreaShort
21-523,U/N Reef (21-523),152.211,-21.816,784.792,Marine National Park,Southern Management Area,4,Southern
21-552,Obstruction Reef (21-552),152.467,-21.963,71.138,Marine National Park,Southern Management Area,4,Southern
21-555,U/N Reef (21-555),152.232,-21.979,884.292,Marine National Park,Southern Management Area,4,Southern
21-557,U/N Reef (21-557),152.464,-21.982,16.129,Marine National Park,Southern Management Area,4,Southern
21-560,U/N Reef (21-560),152.54,-21.662,554.275,Marine National Park,Southern Management Area,4,Southern
22-084,U/N Reef (22-084),152.465,-22,151.867,Marine National Park,Southern Management Area,4,Southern
22-086,Wilson Reef (22-086),152.448,-22.017,308.835,Marine National Park,Southern Management Area,4,Southern
22-147a,U/N Reef (22-147a),152.706,-22.361,299.388,Marine National Park,Southern Management Area,4,Southern
22-148b,Howard Patch (No 2) (22-148b),152.653,-22.381,1308.307,Marine National Park,Southern Management Area,4,Southern
23-045a,North Reef (North) (23-045a),151.904,-23.185,555.912,Marine National Park,Southern Management Area,4,Southern
23-046,Tryon Reef (23-046),151.783,-23.246,355.134,Marine National Park,Southern Management Area,4,Southern
23-068,Erskine Reef (23-068),151.774,-23.502,502.387,Marine National Park,Southern Management Area,4,Southern
23-071,Polmaise Reef (23-071),151.678,-23.556,2532.459,Marine National Park,Southern Management Area,4,Southern
14-086,Hicks Reef (14-086),145.482,-14.453,2376.138,Habitat Protection,Northern Management Area,2,Northern
14-154,Ribbon No 9 Reef (14-154),145.703,-14.993,2152.563,Habitat Protection,Northern Management Area,2,Northern
15-046,Ribbon No 4 Reef (15-046),145.801,-15.435,1003.688,Habitat Protection,Northern Management Area,2,Northern
15-050,Ribbon No 3 Reef (15-050),145.806,-15.488,1199.402,Habitat Protection,Northern Management Area,2,Northern
15-077,U/N Reef (15-077),145.65,-15.558,625.487,Habitat Protection,Northern Management Area,2,Northern
17-008,Noggin Reef (17-008),146.469,-17.126,1242.518,Habitat Protection,Northern Management Area,2,Northern
17-011,Coates Reef (17-011),146.369,-17.197,428.533,Habitat Protection,Northern Management Area,2,Northern
17-062,Noreaster Reef (17-062),146.651,-17.779,4479.329,Habitat Protection,Northern Management Area,2,Northern
18-042,Roxburgh Reef (18-042),147.058,-18.432,2362.978,Habitat Protection,Central Management Area,3,Central
